2026-04-03 11:10:07 | ====================================================
GridCFN Configuration
====================================================

[Data]
  dataset                = solar
  data_path              = ./data/solar_AL.txt
  T_in                   = 168
  T_out                  = 1
  adj_threshold          = 0.95
  batch_size             = 32

[Model]
  in_dim                 = 1
  gcn_hidden             = 64
  gcn_layers             = 2
  tcn_hidden             = 64
  tcn_layers             = 4
  env_dim                = 32
  stoch_dim              = 32
  ms_out_dim             = 32
  n_scg_layers           = 3
  out_dim                = 1
  lambda_mi              = 0.5

[Train]
  lr                     = 0.0005
  max_epochs             = 200
  patience               = 20
  lr_decay_factor        = 0.5
  lr_decay_patience      = 10
  grad_clip              = 1.0
  weight_decay           = 1e-05
  save_path              = best_model.pt
  seed                   = 42
  warmup_epochs          = 5
  gpu_id                 = -1
  log_dir                = logs
  log_to_console         = True
====================================================
2026-04-03 11:10:07 | Device : GPU 0: NVIDIA GeForce RTX 3090  (23.6 GB)
2026-04-03 11:10:08 | Graph  : 137 nodes, 2884 edges
2026-04-03 11:10:08 | Parameters : 202,182

2026-04-03 11:10:09 |  Epoch |     Loss |      NLL |      MI |  Val MAE |  Val RMSE |  Val CRPS |       LR |   Time
2026-04-03 14:22:26 |     46 |  -1.7996 |  -2.6743 |  1.7493 |   0.1234 |    0.3207 |    0.0931 | 2.50e-04 | 251.1s
2026-04-03 14:26:37 |     47 |  -1.8166 |  -2.7071 |  1.7808 |   0.1215 |    0.3204 |    0.0934 | 2.50e-04 | 251.0s
2026-04-03 14:30:48 |     48 |  -1.8076 |  -2.7085 |  1.8018 |   0.1210 |    0.3200 |    0.0913 | 2.50e-04 | 251.1s
2026-04-03 14:34:59 |     49 |  -1.6753 |  -2.4726 |  1.5947 |   0.1328 |    0.3411 |    0.1012 | 2.50e-04 | 251.0s
2026-04-03 14:39:10 |     50 |  -1.7064 |  -2.7243 |  2.0358 |   0.1231 |    0.3221 |    0.0925 | 2.50e-04 | 251.0s
2026-04-03 14:43:21 |     51 |  -1.7067 |  -2.7393 |  2.0652 |   0.1207 |    0.3178 |    0.0907 | 2.50e-04 | 251.0s
2026-04-03 14:47:32 |     52 |  -1.7944 |  -2.7434 |  1.8979 |   0.1222 |    0.3226 |    0.0915 | 2.50e-04 | 251.1s
2026-04-03 14:51:43 |     53 |  -1.7240 |  -2.5959 |  1.7437 |   0.1398 |    0.3651 |    0.1029 | 2.50e-04 | 250.9s
2026-04-03 14:55:54 |     54 |  -1.4994 |  -2.2588 |  1.5188 |   0.1299 |    0.3294 |    0.0988 | 2.50e-04 | 251.0s
2026-04-03 15:00:05 |     55 |  -1.7386 |  -2.5986 |  1.7201 |   0.1336 |    0.3395 |    0.1015 | 2.50e-04 | 250.9s
